tail,f1_macro,accuracy,uuc_accuracy,inner_metric,outer_metric,halfpoint,auroc
100,0.892,0.825,0.730,0.997,0.827,0.921,0.942
200,0.897,0.859,0.812,0.998,0.860,0.906,0.953
300,0.896,0.873,0.856,0.998,0.874,0.890,0.957
400,0.894,0.879,0.882,0.998,0.879,0.875,0.960
500,0.892,0.882,0.902,0.999,0.883,0.863,0.961
