tail,f1_macro,accuracy,uuc_accuracy,inner_metric,outer_metric,halfpoint,auroc
100,0.889,0.764,0.563,0.987,0.771,0.966,0.942
200,0.902,0.822,0.689,0.992,0.826,0.955,0.953
300,0.905,0.845,0.748,0.995,0.848,0.943,0.957
400,0.905,0.860,0.790,0.996,0.862,0.929,0.960
500,0.905,0.868,0.817,0.997,0.869,0.919,0.961
