tail,f1_macro,accuracy,uuc_accuracy,inner_metric,outer_metric,halfpoint,auroc
100,0.892,0.774,0.574,0.983,0.782,0.974,0.941
200,0.904,0.828,0.697,0.989,0.834,0.959,0.951
300,0.906,0.848,0.752,0.995,0.851,0.944,0.956
400,0.905,0.861,0.792,0.996,0.862,0.929,0.958
500,0.904,0.868,0.819,0.997,0.869,0.917,0.959
600,0.903,0.874,0.841,0.997,0.875,0.908,0.960
700,0.902,0.879,0.858,0.997,0.880,0.900,0.961
800,0.900,0.881,0.871,0.997,0.882,0.891,0.962
900,0.899,0.883,0.881,0.998,0.884,0.885,0.962
1000,0.897,0.885,0.892,0.998,0.885,0.877,0.962
