tail,f1_macro,accuracy,uuc_accuracy,inner_metric,outer_metric,halfpoint,auroc
100,0.888,0.773,0.592,0.992,0.777,0.954,0.943
200,0.901,0.830,0.715,0.994,0.832,0.944,0.954
300,0.903,0.852,0.772,0.997,0.853,0.931,0.959
400,0.904,0.866,0.812,0.997,0.867,0.920,0.961
500,0.903,0.874,0.839,0.997,0.875,0.908,0.962
