tail,f1_macro,accuracy,uuc_accuracy,inner_metric,outer_metric,halfpoint,auroc
100,0.883,0.739,0.501,0.981,0.748,0.976,0.943
200,0.901,0.809,0.652,0.986,0.816,0.967,0.954
300,0.907,0.838,0.720,0.991,0.843,0.957,0.959
400,0.909,0.854,0.762,0.994,0.857,0.946,0.961
500,0.907,0.863,0.794,0.995,0.865,0.932,0.962
600,0.907,0.871,0.818,0.997,0.872,0.924,0.963
700,0.906,0.876,0.837,0.997,0.877,0.914,0.964
800,0.906,0.881,0.855,0.997,0.882,0.907,0.964
900,0.904,0.884,0.867,0.997,0.885,0.901,0.965
1000,0.903,0.886,0.879,0.997,0.887,0.893,0.965
