tail,f1_macro,accuracy,uuc_accuracy,inner_metric,outer_metric,halfpoint,auroc
100,0.892,0.788,0.623,0.992,0.792,0.953,0.942
200,0.902,0.838,0.735,0.995,0.840,0.941,0.953
300,0.903,0.857,0.791,0.997,0.859,0.924,0.957
400,0.902,0.869,0.827,0.997,0.870,0.911,0.960
500,0.901,0.876,0.850,0.997,0.877,0.901,0.961
