tail,f1_macro,accuracy,uuc_accuracy,inner_metric,outer_metric,halfpoint,auroc
100,0.895,0.800,0.647,0.992,0.804,0.952,0.941
200,0.902,0.842,0.748,0.996,0.844,0.936,0.951
300,0.902,0.860,0.801,0.997,0.862,0.919,0.956
400,0.902,0.871,0.835,0.997,0.872,0.908,0.958
500,0.899,0.875,0.855,0.998,0.876,0.896,0.959
