tail,f1_macro,accuracy,uuc_accuracy,inner_metric,outer_metric,halfpoint,auroc
100,0.885,0.797,0.670,0.997,0.798,0.924,0.940
200,0.895,0.843,0.772,0.998,0.844,0.914,0.954
300,0.896,0.863,0.824,0.998,0.864,0.901,0.959
400,0.896,0.874,0.860,0.998,0.875,0.888,0.962
500,0.895,0.880,0.884,0.998,0.881,0.877,0.964
