tail,f1_macro,accuracy,uuc_accuracy,inner_metric,outer_metric,halfpoint,auroc
100,0.882,0.749,0.544,0.992,0.753,0.954,0.940
200,0.896,0.811,0.676,0.994,0.814,0.945,0.954
300,0.902,0.839,0.741,0.996,0.841,0.937,0.959
400,0.903,0.857,0.787,0.997,0.858,0.926,0.962
500,0.903,0.867,0.818,0.997,0.868,0.916,0.964
